Magic1     Magic2     ID     MetaOffset Rel.Offset DataOffset W    H    Size       Format
----------------------------------------------------------------------
0xc0c26179 0x301600a  0      0x38cf0  0xf660   0x48368  240  320  92409      COMPRESSED
0x0        0x301640a  1      0x38d08  0x25f59  0x5ec79  96   14   1543       COMPRESSED
0x0        0x301640a  2      0x38d20  0x26560  0x5f298  102  115  3906       COMPRESSED
0x0        0x301640a  3      0x38d38  0x274a2  0x601f2  102  115  3906       COMPRESSED
0x0        0x301640a  4      0x38d50  0x283e4  0x6114c  102  115  3444       COMPRESSED
0x0        0x301640a  5      0x38d68  0x29158  0x61ed8  102  115  3465       COMPRESSED
0x0        0x301640a  6      0x38d80  0x29ee1  0x62c79  102  115  3906       COMPRESSED
0x0        0x301640a  7      0x38d98  0x2ae23  0x63bd3  102  115  3948       COMPRESSED
0x0        0x301640a  8      0x38db0  0x2bd8f  0x64b57  102  115  3381       COMPRESSED
0x0        0x301640a  9      0x38dc8  0x2cac4  0x658a4  102  115  3444       COMPRESSED
0x0        0x301640a  10     0x38de0  0x2d838  0x66630  20   20   820        RAW
0x0        0x301640a  11     0x38df8  0x2db6c  0x6697c  20   20   795        COMPRESSED
0x0        0x301640a  12     0x38e10  0x2de87  0x66caf  20   20   820        RAW
0x0        0x301640a  13     0x38e28  0x2e1bb  0x66ffb  20   20   820        RAW
0x0        0x301640a  14     0x38e40  0x2e4ef  0x67347  20   20   648        COMPRESSED
0x0        0x301640a  15     0x38e58  0x2e777  0x675e7  20   20   820        RAW
0x0        0x301640a  16     0x38e70  0x2eaab  0x67933  24   24   1172       RAW
0x0        0x301640a  17     0x38e88  0x2ef3f  0x67ddf  24   24   1172       RAW
0x0        0x301640a  18     0x38ea0  0x2f3d3  0x6828b  68   64   2206       COMPRESSED
0x0        0x301640a  19     0x38eb8  0x2fc71  0x68b41  68   64   2269       COMPRESSED
0x0        0x301640a  20     0x38ed0  0x3054e  0x69436  68   64   2122       COMPRESSED
0x0        0x301640a  21     0x38ee8  0x30d98  0x69c98  68   64   2185       COMPRESSED
0x0        0x301640a  22     0x38f00  0x31621  0x6a539  68   64   2101       COMPRESSED
0x0        0x301640a  23     0x38f18  0x31e56  0x6ad86  68   64   2122       COMPRESSED
0x0        0x301640a  24     0x38f30  0x326a0  0x6b5e8  68   64   2059       COMPRESSED
0x0        0x301640a  25     0x38f48  0x32eab  0x6be0b  68   64   2080       COMPRESSED
0x0        0x301640a  26     0x38f60  0x336cb  0x6c643  4    2    36         RAW
0x0        0x301640a  27     0x38f78  0x336ef  0x6c67f  20   20   732        COMPRESSED
0x0        0x301640a  28     0x38f90  0x339cb  0x6c973  20   20   820        RAW
0x0        0x301640a  29     0x38fa8  0x33cff  0x6ccbf  20   20   820        RAW
0x0        0x301640a  30     0x38fc0  0x34033  0x6d00b  20   20   820        RAW
